disc-reason-412,disconnect-from-policy-server
disc-reason-413,s6b-auth-failed
disc-reason-414,gtpc-err-ind
disc-reason-415,gtpu-err-ind
disc-reason-416,invalid-pdn-type
disc-reason-417,aaa-auth-req-failed
disc-reason-418,apn-denied-no-subscription
disc-reason-419,Sgw-context-replacement
disc-reason-420,dup-static-ip-addr-req
disc-reason-421,apn-restrict-violation
disc-reason-422,invalid-wapn
disc-reason-423,ttg-nsapi-allocation-failed
disc-reason-424,mandatory-gtp-ie-missing
disc-reason-425,aaa-unreachable
disc-reason-426,asngw-service-flow-deletion
disc-reason-427,CT-PMIP-RRQ-NVSE-Value-Change
disc-reason-428,tcp-read-failed
disc-reason-429,tcp-write-failed
disc-reason-430,ssl-handshake-failed
disc-reason-431,ssl-renegotiate-failed
disc-reason-432,ssl-bad-message
disc-reason-433,ssl-alert-received
disc-reason-434,ssl-disconnect
disc-reason-435,ssl-migration
disc-reason-436,sgsn-ard-failure
disc-reason-437,sgsn-camel-release
disc-reason-438,sgsn-egtpc-connection-failed
disc-reason-439,sgsn-egtpc-create-session-failed
disc-reason-440,sgsn-hss-detach
disc-reason-441,sgsn-hss-connection-failure
disc-reason-442,sgsn-pgw-detach
disc-reason-443,sgsn-s5--s8--no-support-for-apn
disc-reason-444,sgsn-no-rab-for-gbr-bearer
disc-reason-445,sgsn-sgw-selection-failure
disc-reason-446,sgsn-pgw-selection-failure
disc-reason-447,wimax-hotlining-status-change
disc-reason-448,ggsn-no-rsp-from-sgsn
disc-reason-449,diameter-protocol-error
disc-reason-450,diameter-request-timeout
disc-reason-451,operator-policy
disc-reason-452,spr-connection-error
disc-reason-453,mipha-dup-wimax-session
disc-reason-454,invalid-version-attr
disc-reason-455,sgsn-zone-code-failure
disc-reason-456,invalid-qci
disc-reason-457,no_rules
disc-reason-458,sgsn-rnc-no-dual-pdp-init-pdp-deact
disc-reason-459,mme-init-ctxt-setup-failure
disc-reason-460,mme-driver-initiated
disc-reason-461,mme-s1ap-connection-down
disc-reason-462,mme-s1ap-reset-recd
disc-reason-463,mme-s6a-response-timeout
disc-reason-464,mme-s13-response-timeout
disc-reason-465,mme-Illegal-equipment
disc-reason-466,mme-unexpected-attach
disc-reason-467,mme-sgw-selection-failure
disc-reason-468,mme-pgw-selection-failure
disc-reason-469,mme-reselection-to-sgsn
disc-reason-470,mme-relocation-to-sgsn
disc-reason-471,mme-reselection-to-mme
disc-reason-472,mme-relocation-to-mme
disc-reason-473,mme-tau-attach-collision
disc-reason-474,mme-old-sgsn-resolution-failure
disc-reason-475,mme-old-mme-resolution-failure
disc-reason-476,mme-reloc-ho-notify-timeout
disc-reason-477,mme-reloc-ho-req-ack-timeout
disc-reason-478,mme-create-session-timeout
disc-reason-479,mme-create-session-failure
disc-reason-480,mme-s11-path-failure
disc-reason-481,mme-policy-no-ue-irat
disc-reason-482,mme-x2-handover-failed
disc-reason-483,mme-attach-restrict
disc-reason-484,mme-regional-zone-code
disc-reason-485,mme-no-response-from-ue
disc-reason-486,mme-sgw-relocation-failed
disc-reason-487,mme-implicit-detach
disc-reason-488,sgsn-detach-notify
disc-reason-489,policy-initiated-release
disc-reason-490,gy-result-code-system-failure
disc-reason-491,emergency-inactivity-timeout
disc-reason-492,mme-zone-code-validation-failed
disc-reason-493,sgsn-pgw-init-deact
disc-reason-494,s6b-ip-validation-failed
disc-reason-495,sgsn-failure-rsp-from-sgw
disc-reason-496,tcp-remote-close
disc-reason-497,tcp-reset-received
disc-reason-498,tcp-socket-error
disc-reason-499,ptmsi-signature-mismatch
disc-reason-500,camel-invalid-configuration
disc-reason-501,4Gto3G-context-replacement
disc-reason-502,mme-isr-sgsn-init-detach
disc-reason-503,sgsn-isr-addl-ptmsi-rai
disc-reason-504,sgsn-sgw-dbr-cause-isr-deact
disc-reason-505,sgsn-isr-mme-init-detach
disc-reason-506,mme-sgw-dbr-cause-isr-deact
disc-reason-507,sgsn-ptmsi-crunch
disc-reason-508,3Gto4G-context-replacement0
disc-reason-509,sgsn-actv-reject-on-dns-failure
disc-reason-510,intra-ggsn-handoff
disc-reason-511,WSG-Auth-failed
disc-reason-512,Gtp-non-existent-pdp-context1
disc-reason-513,sgsn-cancel-loc-inital-attach
disc-reason-514,Local-fallback-timeout
disc-reason-515,sgsn-nrspca-actv-rej-by-sgsn
disc-reason-516,sgsn-nrspca-actv-rej-by-ms
disc-reason-517,ims-authorization-config-delete
disc-reason-518,sgsn-no-ptmsi-signature
disc-reason-519,ePDG-dns-server-not-reachable
disc-reason-520,ePDG-dns-no-resource-records
disc-reason-521,ePDG-dns-no-service-params
disc-reason-522,ePDG-Auth-failed
disc-reason-523,ePDG-pgw-sel-failure-initial
disc-reason-524,ePDG-pgw-sel-failure-handoff
disc-reason-525,sgsn-ho-sgw-reloc-collision
disc-reason-526,ePDG-dbr-from-pgw
disc-reason-527,ePDG-gtpc-abort-session
disc-reason-528,ePDG-gtpu-abort-session
disc-reason-529,ePDG-gtpu-error-ind
disc-reason-530,ePDG-pgw-not-reachable
disc-reason-531,ePDG-reject-from-pgw
disc-reason-532,IPSG-session-replacement
disc-reason-533,ePDG-release-due-to-handoff
disc-reason-534,mme-foreign-plmn-guti-rejected
disc-reason-535,sgsn-dsd-allepswithdrawn
disc-reason-536,NAT-Pool-BusyOut-Or-Pend-Delete
disc-reason-537,Invalid-APN
disc-reason-538,srvcc-ps-to-cs-handover
disc-reason-539,henbgw-mme-s1ap-reset-recd
disc-reason-540,henbgw-henb-s1ap-reset-recd
disc-reason-541,henbgw-mme-sctp-conn-down
disc-reason-542,henbgw-henb-sctp-conn-down
disc-reason-543,henbgw-handoff-complete
disc-reason-544,henbgw-handover-failed
disc-reason-545,henbgw-mme-error-indication
disc-reason-546,henbgw-henb-error-indication
disc-reason-547,henbgw-henb-initiated-release
disc-reason-548,henbgw-mme-initiated-release
disc-reason-549,henbgw-duplicate-session
disc-reason-550,Transport-mismatch-with-PGW
disc-reason-551,icsr-ipsec-chkpt-failed
disc-reason-552,sgsn-dbr-cause-isr-deact-detach
disc-reason-553,unexpected-scenario
disc-reason-554,icsr-delete-standby
disc-reason-555,ePDG-local-pgw-resolution-failed
disc-reason-556,sgsn-dbr-cause-isr-deact-detach
disc-reason-557,henbgw-gw2henb-inv-mmeues1apid
disc-reason-558,henbgw-gw2mme-inv-mmeues1apid
disc-reason-559,henbgw-henb-sess-henb-conn-down
disc-reason-560,henbgw-nw-path-unavailable
disc-reason-561,pgw-transaction-timeout
disc-reason-562,samog-multi-dev-pgw-sel-failure
disc-reason-563,samog-multi-dev-demux-failure
disc-reason-564,mme-pgw-restarted
disc-reason-565,samog-session-replacement
disc-reason-566,authorization-failed
disc-reason-567,mm-apn-congestion-control
disc-reason-568,samog-pgw-init-detach
disc-reason-569,samog-ggsn-init-detach
disc-reason-570,samog-pgw-rejected
disc-reason-571,samog-ggsn-rejected
disc-reason-572,samog-pgw-no-response
disc-reason-573,samog-ggsn-no-response
disc-reason-574,samog-gtpc-path-failure
disc-reason-575,samog-gtpc-path-failure
disc-reason-576,samog-gtpu-err-ind
disc-reason-577,samog-mandatory-ie-missing
disc-reason-578,samog-mandatory-ie-incorrect
disc-reason-579,samog-ip-alloc-failed
disc-reason-580,samog-default-gw-not-found
disc-reason-581,samog-dns-unreachable
disc-reason-582,samog-dns-no-resource-records
disc-reason-583,samog-dns-no-service-params
disc-reason-584,samog-internal-error
disc-reason-585,handoff-pcf-restriction
disc-reason-586,graceful-cleanup-on-audit-fail
disc-reason-587,ue-ctxt-normal-del-ntsr-ddn
disc-reason-588,session-auto-delete
disc-reason-589,mme-qos-pgw-upgrade-reject
disc-reason-590,path-failure-s5
disc-reason-591,path-failure-s11
disc-reason-592,path-failure-s4
disc-reason-593,gtpu-path-failure-s5u
disc-reason-594,gtpu-path-failure-s1u
disc-reason-595,gtpu-path-failure-s4u
disc-reason-596,gtpu-path-failure-s12
disc-reason-597,gtpu-err-ind-s5u
disc-reason-598,gtpu-err-ind-s1u
disc-reason-599,gtpu-err-ind-s4u
disc-reason-600,gtpu-err-ind-s12
disc-reason-601,diameter-network-too-busy
disc-reason-602,diameter-network-failure
disc-reason-603,diameter-roaming-not-allowed
disc-reason-604,diameter-rat-disallowed
disc-reason-605,diameter-no-subscription
disc-reason-606,pcc-data-mismatch
disc-reason-607,mme-embms-call-setup-timeout
disc-reason-608,mme-embms-normal-disconnect
disc-reason-609,mme-embms-sctp-down
disc-reason-610,disconnect-from-charging-server
disc-reason-611,disconnect-irat-fail-hi-missing
disc-reason-612,apn-not-supported-in-plmn-rat
disc-reason-613,ue-pcscf-reselect-not-supported
disc-reason-614,newer-session-detected
disc-reason-615,mme-guti_realloc_failed-detach
disc-reason-616,mme-pcscf-rest-detach
disc-reason-617,Reject-ho-old-tun-path-failure
disc-reason-618,dummy
disc-reason-619,dup-static-ipv6-addr-req
disc-reason-620,mip-path-failure
disc-reason-621,apn-congestion
disc-reason-622,ue-redirected
disc-reason-623,ePDG-s2b-access-denied
disc-reason-624,ePDG-s2b-network-failure
disc-reason-625,ePDG-s2b-msg-failure
disc-reason-626,ePDG-s2b-rat-disallowed
disc-reason-627,ePDG-roaming-mandatory
disc-reason-628,Gtpv2-context-not-found
disc-reason-629,SaMOG-access-switch-timeout
disc-reason-630,Decrypt-fail-count-exceeded
disc-reason-631,emergency-idle-timeout
disc-reason-632,gtpu-path-failure-s11u
disc-reason-633,gtpu-err-ind-s11u
